Files already downloaded
4 Epoch [90/200], Discriminator 0.2241, Best Generator[4] 0.0268
[2006.192150324583, 2297.0499876737595, 1863.007380783558, 2100.17784550786, 2783.04119771719, 2118.3210093528032, 2224.8159658312798, 2200.5012235939503]
2 Epoch [91/200], Discriminator 0.2157, Best Generator[2] 0.4098
[1983.9957637488842, 1981.2034314014018, 2780.927389740944, 1944.5978583171964, 1952.7131495252252, 2148.104534909129, 1887.7519316151738, 1990.1733495518565]
6 Epoch [92/200], Discriminator 0.3426, Best Generator[6] 0.1578
[2242.335130393505, 2418.1442672610283, 2318.2153015732765, 2247.9529518187046, 2110.696315869689, 2097.500939592719, 2805.133386492729, 2239.895845167339]
5 Epoch [93/200], Discriminator 0.2025, Best Generator[5] 0.3846
[2173.010294979438, 2078.4903232536744, 1859.7247454795724, 1921.7647728721513, 2401.0267074108124, 2865.74853014946, 1903.6723251003132, 2033.3379712561145]
2 Epoch [94/200], Discriminator 0.3042, Best Generator[2] 0.0005
[2320.899477496743, 2292.0622247457504, 2740.4430539906025, 2309.2282917425036, 2320.9149022698402, 2371.7641803100705, 1996.7546404805034, 2225.5882600545883]
6 Epoch [95/200], Discriminator 0.3960, Best Generator[6] 0.1030
[2166.0230758935213, 2379.7266637682915, 2082.768813379109, 2242.575700432062, 2249.4798128008842, 1975.9058427214622, 2729.301169037819, 2318.5051371604204]
5 Epoch [96/200], Discriminator 0.3058, Best Generator[5] 0.0695
[2202.44957575202, 2168.474258363247, 2014.328161150217, 1973.5903421640396, 2217.616155564785, 2618.2287650108337, 2082.952088177204, 2101.4544569551945]
3 Epoch [97/200], Discriminator 0.2990, Best Generator[3] 0.3859
[1864.9189065024257, 2124.316355973482, 1962.752045430243, 2588.9792609214783, 1852.3431039340794, 1745.413202315569, 1975.6357799470425, 2010.622110657394]
5 Epoch [98/200], Discriminator 0.3810, Best Generator[5] 0.2449
[2238.0859028995037, 2117.9610226005316, 2192.148202508688, 2202.140133187175, 2209.0023565143347, 2694.5683723688126, 2243.9742690473795, 2201.10491836071]
1 Epoch [99/200], Discriminator 0.2877, Best Generator[1] 0.3947
[2026.340547055006, 2609.310928583145, 2216.645168840885, 1908.3762363828719, 1845.5556703172624, 2343.176245391369, 2322.3489604592323, 2039.0811973065138]
4 Epoch [100/200], Discriminator 0.4048, Best Generator[4] 0.0776
[2185.8393341600895, 2164.300000190735, 2089.059737443924, 2052.1133032143116, 2617.786641597748, 2288.3098521232605, 2202.5810436606407, 2127.7901936769485]
3 Epoch [101/200], Discriminator 0.2381, Best Generator[3] 0.8778
[2207.3375715613365, 2185.279860138893, 2162.005637958646, 2784.1454133987427, 2221.9470458626747, 2343.8720070123672, 2370.659196346998, 2211.1748594641685]
2 Epoch [102/200], Discriminator 0.2489, Best Generator[2] 0.1372
[2268.276348501444, 2181.2748922407627, 2783.287308692932, 2176.054879143834, 2264.6596003994346, 2193.338755786419, 2047.5617920905352, 2118.1197128891945]
6 Epoch [103/200], Discriminator 0.3162, Best Generator[6] 0.1394
[2190.7996631264687, 2353.410009741783, 2313.247420936823, 2221.4942235052586, 2340.879171848297, 2201.04575496912, 2824.802433490753, 2195.504377901554]
0 Epoch [104/200], Discriminator 0.2170, Best Generator[0] 0.7214
[2896.9921894073486, 2084.723545779474, 2207.150534749031, 2272.993330668658, 1872.1430636266014, 2117.1703528277576, 2237.5101434253156, 2191.652835905552]
4 Epoch [105/200], Discriminator 0.2088, Best Generator[4] 0.0025
[2226.0278870388865, 2108.9663625564426, 2437.865047633648, 2139.4287647902966, 2926.755390405655, 2209.561858754605, 2182.1028783880174, 2371.550875104964]
1 Epoch [106/200], Discriminator 0.3344, Best Generator[1] 0.0508
[2219.7960155010223, 2630.7189716100693, 2312.4674845933914, 2269.891193509102, 2382.8831255435944, 2354.1598997712135, 2294.5282995700836, 2148.686544239521]
7 Epoch [107/200], Discriminator 0.2630, Best Generator[7] 0.6591
[1960.6023198347539, 1979.4427982810885, 1886.7872271761298, 1992.0105548761785, 1960.67056662729, 2074.430232571438, 1940.0026936917566, 2778.2753069400787]
2 Epoch [108/200], Discriminator 0.3661, Best Generator[2] 0.1030
[1831.4628576685209, 2427.7223240733147, 2762.759832382202, 2167.143308773637, 2142.2644078582525, 1734.5827046479098, 2067.8089153021574, 2343.454294204712]
